Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes
barr,2011,29-May-11,brw1,b12,100,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,b4,100,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,h4,90,5,5,100,adoll,NA
barr,2011,29-May-11,brw1,j10,100,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,j12,90,5,5,100,adoll,NA
barr,2011,29-May-11,brw6,d8,60,20,20,100,adoll,NA
barr,2011,29-May-11,brw6,l10,100,0,0,100,adoll,NA
barr,2011,29-May-11,brw3,f10,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,h2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,h8,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j10,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,l2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,b2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,d12,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw8,h4,80,10,10,100,jcunningham,NA
barr,2011,31-May-11,brw3,b10,90,5,5,100,abankert,NA
barr,2011,31-May-11,brw3,d6,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,f10,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,f8,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h2,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h8,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j10,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j2,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,l2,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw6,d6,80,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,f8,90,5,5,100,abankert,NA
barr,2011,31-May-11,brw6,l10,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw8,d4,40,30,30,100,adoll,NA
barr,2011,31-May-11,brw8,f2,60,20,20,100,adoll,NA
barr,2011,31-May-11,brw8,h10,80,10,10,100,adoll,NA
barr,2011,31-May-11,brw5,d2,90,5,5,100,pherzog,NA
barr,2011,2-Jun-11,brw6,f8,100,0,0,100,abankert,NA
barr,2011,2-Jun-11,brw6,l10,100,0,0,100,abankert,NA
barr,2011,2-Jun-11,brw8,h12,40,30,30,100,abankert,NA
barr,2011,2-Jun-11,brw8,j6,40,30,30,100,abankert,NA
barr,2011,2-Jun-11,brw1,b12,90,5,5,100,bhill,NA
barr,2011,2-Jun-11,brw1,d12,90,5,5,100,bhill,NA
barr,2011,2-Jun-11,brw1,h2,90,5,5,100,bhill,NA
barr,2011,2-Jun-11,brw1,h4,60,20,20,100,bhill,NA
barr,2011,2-Jun-11,brw1,h8,100,0,0,100,bhill,NA
barr,2011,2-Jun-11,brw3,d12,40,30,30,100,jcunningham,NA
barr,2011,2-Jun-11,brw3,l12,50,25,25,100,jcunningham,NA
barr,2011,3-Jun-11,brw5,b2,100,0,0,100,adoll,NA
barr,2011,3-Jun-11,brw5,f2,100,0,0,100,adoll,NA
barr,2011,4-Jun-11,brw6,f8,100,0,0,100,abankert,NA
barr,2011,4-Jun-11,brw1,b4,50,25,25,100,jcunningham,NA
barr,2011,4-Jun-11,brw1,d8,50,25,25,100,jcunningham,NA
barr,2011,4-Jun-11,brw1,f6,60,20,20,100,jcunningham,NA
barr,2011,4-Jun-11,brw2,l10,30,35,35,100,jcunningham,NA
barr,2011,4-Jun-11,brw3,d10,100,0,0,100,pherzog,NA
barr,2011,4-Jun-11,brw3,d8,100,0,0,100,pherzog,NA
barr,2011,4-Jun-11,brw3,f12,100,0,0,100,pherzog,NA
barr,2011,4-Jun-11,brw3,h8,100,0,0,100,pherzog,NA
barr,2011,4-Jun-11,brw3,j10,100,0,0,100,pherzog,NA
barr,2011,4-Jun-11,brw5,b2,100,0,0,100,pherzog,NA
barr,2011,4-Jun-11,brw5,f2,100,0,0,100,pherzog,NA
barr,2011,6-Jun-11,brw1,f2,60,20,20,100,adoll,NA
barr,2011,6-Jun-11,brw5,b2,80,10,10,100,pherzog,NA
barr,2011,6-Jun-11,brw5,d2,50,25,25,100,pherzog,NA
barr,2011,6-Jun-11,brw5,h8,80,10,10,100,pherzog,NA
barr,2011,8-Jun-11,brw1,f8,20,40,40,100,abankert,NA
